Uydu_Adi,NORAD_ID,Enlem,Boylam,Yukseklik_km
TURKSAT 3A,33056,-0.052263196605095444,41.966697015316285,35766.09895458028
RASAT,37791,11.685522961754979,-153.0856837426217,665.8281388197861
GOKTURK 2,39030,54.580694476874754,148.27369112990013,652.1813218027779
TURKSAT 4A,39522,0.05275646260323075,42.044090744651406,35778.12262337081
TURKSAT 4B,40984,-0.023947792799925552,50.04818046637905,35777.69285370275
GOKTURK 1A,41875,62.247005708573404,-3.8351298498235162,693.9869848521747
TURKSAT 5A,47306,-0.0167909281328961,30.920932352489967,35786.1100926403
TURKSAT 5B,50212,0.04642328657086673,42.03808860334762,35768.35938500769
CONNECTA T1.2,55012,8.050353160508905,6.517395719746019,434.41090541862724
IMECE,56178,18.315214238926934,18.931092870426507,671.7504882101427
TURKSAT 6A,60233,0.0022659662201912185,42.01806877137433,35781.55263712735
CONNECTA IOT-1,60472,-65.13013028428134,-2.5136214321369152,522.065140176967
CONNECTA IOT-3,60475,53.44430046947198,23.395836873760906,504.057085707451
CONNECTA IOT-2,60522,28.906054922963424,-168.7419363318662,502.840042137458
CONNECTA IOT-4,60524,-32.89240556891357,-155.6919538697319,462.74136087582195
CONNECTA IOT-8,62695,-71.87863938053185,-140.3074472868964,614.5057824913947
CONNECTA IOT-5,62703,51.63359807815337,-173.73749386090287,591.113928717899
CONNECTA IOT-6,62709,-49.61774322039229,6.739402994897239,606.4895114109578
CONNECTA IOT-7,62715,10.520021202338453,-165.24925776934518,587.6353272473222
CONNECTA IOT-9,64534,-41.72967583309527,-121.7285984717808,525.710891825024
ELARASAT MMS-1,64539,29.349701952723326,-132.23799111213475,501.9980141530506
CONNECTA IOT-12,64553,-33.13506839692807,-122.97815827218305,514.2583135778134
CONNECTA IOT-10,64555,24.342302539025802,-131.5846899910127,507.4529237361828
CONNECTA IOT-11,64557,-67.29222048119796,33.876250147485,527.8182212635696
CONNECTA IOT-16,67390,-7.275236148028798,117.04034385526911,519.3752283531952
CONNECTA IOT-13,67400,-55.774972753091475,-74.86451628189666,531.7982860336004
CONNECTA IOT-14,67401,-3.965785190837405,116.67897660291295,516.0515065252184
CONNECTA IOT-15,67402,-73.37454187960404,141.8906233613988,542.2830111306815
